Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
02-JAN-2023,18131.7,18215.15,18086.5,18197.45,256073979,11793.06
03-JAN-2023,18163.2,18251.95,18149.8,18232.55,208699772,13680.91
04-JAN-2023,18230.65,18243,18020.6,18042.95,235162202,16687.71
05-JAN-2023,18101.95,18120.3,17892.6,17992.15,269949738,22108.53
06-JAN-2023,18008.05,18047.4,17795.55,17859.45,238220578,17495.25
09-JAN-2023,17952.55,18141.4,17936.15,18101.2,257237669,19916.16
10-JAN-2023,18121.3,18127.6,17856,17914.15,283277918,20570.3
11-JAN-2023,17924.25,17976.35,17824.35,17895.7,259853294,20204.33
12-JAN-2023,17920.85,17945.8,17761.65,17858.2,227769060,19762.43
13-JAN-2023,17867.5,17999.35,17774.25,17956.6,256700729,21341.7
16-JAN-2023,18033.15,18049.65,17853.65,17894.85,206195816,16728.37
17-JAN-2023,17922.8,18072.05,17886.95,18053.3,219055125,17461.09
18-JAN-2023,18074.3,18183.75,18032.45,18165.35,255840928,20500.07
19-JAN-2023,18119.8,18155.2,18063.75,18107.85,237833991,18413.13
20-JAN-2023,18115.6,18145.45,18016.2,18027.65,237225269,19519.96
23-JAN-2023,18118.45,18162.6,18063.45,18118.55,202460434,17060.12
24-JAN-2023,18183.95,18201.25,18078.65,18118.3,216910302,19705.91
25-JAN-2023,18093.35,18100.6,17846.15,17891.95,257227052,20890.56
27-JAN-2023,17877.2,17884.75,17493.55,17604.35,476342611,40104.83
30-JAN-2023,17541.95,17709.15,17405.55,17648.95,432434028,38159.88
31-JAN-2023,17731.45,17735.7,17537.55,17662.15,398338541,35023.7
01-FEB-2023,17811.6,17972.2,17353.4,17616.3,512870802,38486.19
02-FEB-2023,17517.1,17653.9,17445.95,17610.4,490113567,37639.96
03-FEB-2023,17721.75,17870.3,17584.2,17854.05,424123037,34503.67
06-FEB-2023,17818.55,17823.7,17698.35,17764.6,282544790,21864.88
07-FEB-2023,17790.1,17811.15,17652.55,17721.5,354395693,23611.08
08-FEB-2023,17750.3,17898.7,17744.15,17871.7,290994265,23733.4
09-FEB-2023,17885.5,17916.9,17779.8,17893.45,260854055,21529.97
10-FEB-2023,17847.55,17876.95,17801,17856.5,231991834,17063.99
